model,quality,path,name,nrows,ncols,nnz,mean_nnz_per_row,std_nnz_per_row,mean_nnz_per_col,std_nnz_per_col,sparsity
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_encoder_layer_2_self_attention_multihead_attention_q.smtx,transformer/l0_regularization/0.5/body_encoder_layer_2_self_attention_multihead_attention_q,512,512,96583.0,188.638671875,42.4727401733,188.638671875,28.3669509888,0.631565093994
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_encoder_layer_3_self_attention_multihead_attention_v.smtx,transformer/l0_regularization/0.5/body_encoder_layer_3_self_attention_multihead_attention_v,512,512,119034.0,232.48828125,26.2906646729,232.48828125,18.801486969,0.545921325684
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_encoder_layer_3_self_attention_multihead_attention_k.smtx,transformer/l0_regularization/0.5/body_encoder_layer_3_self_attention_multihead_attention_k,512,512,103808.0,202.75,26.8635883331,202.75,28.9212284088,0.60400390625
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_decoder_layer_2_encdec_attention_multihead_attention_v.smtx,transformer/l0_regularization/0.5/body_decoder_layer_2_encdec_attention_multihead_attention_v,512,512,133155.0,260.068359375,16.2484741211,260.068359375,17.1197872162,0.492053985596
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_decoder_layer_0_self_attention_multihead_attention_k.smtx,transformer/l0_regularization/0.5/body_decoder_layer_0_self_attention_multihead_attention_k,512,512,158760.0,310.078125,35.0161476135,310.078125,31.4032115936,0.394378662109
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_decoder_layer_3_self_attention_multihead_attention_v.smtx,transformer/l0_regularization/0.5/body_decoder_layer_3_self_attention_multihead_attention_v,512,512,161231.0,314.904296875,16.3121604919,314.904296875,18.3008861542,0.384952545166
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_decoder_layer_2_self_attention_multihead_attention_output_transform.smtx,transformer/l0_regularization/0.5/body_decoder_layer_2_self_attention_multihead_attention_output_transform,512,512,164324.0,320.9453125,12.268198967,320.9453125,14.2120141983,0.373153686523
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_decoder_layer_3_encdec_attention_multihead_attention_output_transform.smtx,transformer/l0_regularization/0.5/body_decoder_layer_3_encdec_attention_multihead_attention_output_transform,512,512,158040.0,308.671875,13.2521276474,308.671875,13.9936418533,0.397125244141
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_encoder_layer_2_self_attention_multihead_attention_output_transform.smtx,transformer/l0_regularization/0.5/body_encoder_layer_2_self_attention_multihead_attention_output_transform,512,512,132334.0,258.46484375,16.805606842,258.46484375,47.3408813477,0.495185852051
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_decoder_layer_1_self_attention_multihead_attention_k.smtx,transformer/l0_regularization/0.5/body_decoder_layer_1_self_attention_multihead_attention_k,512,512,122396.0,239.0546875,49.2927360535,239.0546875,26.3467903137,0.533096313477
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_decoder_layer_1_self_attention_multihead_attention_q.smtx,transformer/l0_regularization/0.5/body_decoder_layer_1_self_attention_multihead_attention_q,512,512,119017.0,232.455078125,40.0538444519,232.455078125,20.5248966217,0.545986175537
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_encoder_layer_5_self_attention_multihead_attention_v.smtx,transformer/l0_regularization/0.5/body_encoder_layer_5_self_attention_multihead_attention_v,512,512,119087.0,232.591796875,20.3915634155,232.591796875,16.6647605896,0.545719146729
transformer,26.72,dlmc/transformer/l0_regularization/0.5/symbol_modality_33288_512_shared_weights_0_aux.smtx,transformer/l0_regularization/0.5/symbol_modality_33288_512_shared_weights_0_aux,33288,512,7941902.0,238.58152771,81.3215560913,15511.5273438,1067.55786133,0.534020447496
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_decoder_layer_1_ffn_conv1.smtx,transformer/l0_regularization/0.5/body_decoder_layer_1_ffn_conv1,2048,512,615379.0,300.478027344,18.6830177307,1201.91210938,42.9303817749,0.413128852844
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_decoder_layer_5_self_attention_multihead_attention_v.smtx,transformer/l0_regularization/0.5/body_decoder_layer_5_self_attention_multihead_attention_v,512,512,134494.0,262.68359375,14.2503242493,262.68359375,14.2407274246,0.486946105957
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_decoder_layer_0_self_attention_multihead_attention_v.smtx,transformer/l0_regularization/0.5/body_decoder_layer_0_self_attention_multihead_attention_v,512,512,163812.0,319.9453125,27.1219921112,319.9453125,14.7325410843,0.375106811523
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_encoder_layer_4_self_attention_multihead_attention_q.smtx,transformer/l0_regularization/0.5/body_encoder_layer_4_self_attention_multihead_attention_q,512,512,114955.0,224.521484375,30.6894626617,224.521484375,21.0452327728,0.56148147583
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_decoder_layer_0_self_attention_multihead_attention_output_transform.smtx,transformer/l0_regularization/0.5/body_decoder_layer_0_self_attention_multihead_attention_output_transform,512,512,161312.0,315.0625,16.3462295532,315.0625,22.2169704437,0.384643554688
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_decoder_layer_0_encdec_attention_multihead_attention_k.smtx,transformer/l0_regularization/0.5/body_decoder_layer_0_encdec_attention_multihead_attention_k,512,512,128761.0,251.486328125,73.26612854,251.486328125,15.3410396576,0.508815765381
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_encoder_layer_3_ffn_conv1.smtx,transformer/l0_regularization/0.5/body_encoder_layer_3_ffn_conv1,2048,512,527460.0,257.548828125,32.7813453674,1030.1953125,88.4233474731,0.496974945068
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_decoder_layer_2_ffn_conv2.smtx,transformer/l0_regularization/0.5/body_decoder_layer_2_ffn_conv2,512,2048,550086.0,1074.38671875,33.2209510803,268.596679688,23.5885848999,0.475397109985
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_decoder_layer_2_encdec_attention_multihead_attention_k.smtx,transformer/l0_regularization/0.5/body_decoder_layer_2_encdec_attention_multihead_attention_k,512,512,130692.0,255.2578125,24.077753067,255.2578125,23.2599925995,0.501449584961
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_decoder_layer_2_encdec_attention_multihead_attention_output_transform.smtx,transformer/l0_regularization/0.5/body_decoder_layer_2_encdec_attention_multihead_attention_output_transform,512,512,144385.0,282.001953125,13.5858812332,282.001953125,16.3862667084,0.449214935303
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_decoder_layer_5_encdec_attention_multihead_attention_q.smtx,transformer/l0_regularization/0.5/body_decoder_layer_5_encdec_attention_multihead_attention_q,512,512,141501.0,276.369140625,15.1544923782,276.369140625,20.6831207275,0.460216522217
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_encoder_layer_1_ffn_conv2.smtx,transformer/l0_regularization/0.5/body_encoder_layer_1_ffn_conv2,512,2048,430911.0,841.623046875,66.0137329102,210.405761719,33.4188041687,0.589051246643
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_decoder_layer_1_ffn_conv2.smtx,transformer/l0_regularization/0.5/body_decoder_layer_1_ffn_conv2,512,2048,552458.0,1079.01953125,34.859588623,269.754882812,21.702747345,0.473134994507
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_decoder_layer_2_self_attention_multihead_attention_k.smtx,transformer/l0_regularization/0.5/body_decoder_layer_2_self_attention_multihead_attention_k,512,512,129969.0,253.845703125,18.5191421509,253.845703125,19.5552501678,0.504207611084
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_decoder_layer_4_encdec_attention_multihead_attention_k.smtx,transformer/l0_regularization/0.5/body_decoder_layer_4_encdec_attention_multihead_attention_k,512,512,128782.0,251.52734375,14.3973741531,251.52734375,22.4657554626,0.508735656738
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_decoder_layer_4_self_attention_multihead_attention_k.smtx,transformer/l0_regularization/0.5/body_decoder_layer_4_self_attention_multihead_attention_k,512,512,125661.0,245.431640625,36.7636489868,245.431640625,18.0676689148,0.520641326904
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_decoder_layer_4_self_attention_multihead_attention_output_transform.smtx,transformer/l0_regularization/0.5/body_decoder_layer_4_self_attention_multihead_attention_output_transform,512,512,154825.0,302.392578125,13.5609226227,302.392578125,29.7268867493,0.40938949585
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_encoder_layer_2_self_attention_multihead_attention_k.smtx,transformer/l0_regularization/0.5/body_encoder_layer_2_self_attention_multihead_attention_k,512,512,100634.0,196.55078125,40.5646858215,196.55078125,29.8932571411,0.616111755371
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_decoder_layer_4_self_attention_multihead_attention_v.smtx,transformer/l0_regularization/0.5/body_decoder_layer_4_self_attention_multihead_attention_v,512,512,153730.0,300.25390625,28.6069488525,300.25390625,15.3198318481,0.413566589355
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_encoder_layer_1_self_attention_multihead_attention_v.smtx,transformer/l0_regularization/0.5/body_encoder_layer_1_self_attention_multihead_attention_v,512,512,126151.0,246.388671875,35.4158248901,246.388671875,23.3288154602,0.518772125244
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_encoder_layer_4_self_attention_multihead_attention_v.smtx,transformer/l0_regularization/0.5/body_encoder_layer_4_self_attention_multihead_attention_v,512,512,118573.0,231.587890625,32.1780357361,231.587890625,18.4279670715,0.547679901123
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_decoder_layer_4_ffn_conv1.smtx,transformer/l0_regularization/0.5/body_decoder_layer_4_ffn_conv1,2048,512,655737.0,320.184082031,16.4288768768,1280.73632812,33.6183013916,0.374640464783
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_encoder_layer_0_ffn_conv2.smtx,transformer/l0_regularization/0.5/body_encoder_layer_0_ffn_conv2,512,2048,478771.0,935.099609375,73.1260452271,233.774902344,40.3277397156,0.54340839386
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_decoder_layer_1_encdec_attention_multihead_attention_v.smtx,transformer/l0_regularization/0.5/body_decoder_layer_1_encdec_attention_multihead_attention_v,512,512,130440.0,254.765625,33.3977508545,254.765625,16.7224521637,0.502410888672
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_encoder_layer_3_self_attention_multihead_attention_q.smtx,transformer/l0_regularization/0.5/body_encoder_layer_3_self_attention_multihead_attention_q,512,512,102659.0,200.505859375,24.936794281,200.505859375,27.6340465546,0.608386993408
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_decoder_layer_1_encdec_attention_multihead_attention_k.smtx,transformer/l0_regularization/0.5/body_decoder_layer_1_encdec_attention_multihead_attention_k,512,512,138452.0,270.4140625,35.0692481995,270.4140625,20.068157196,0.47184753418
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_decoder_layer_0_encdec_attention_multihead_attention_q.smtx,transformer/l0_regularization/0.5/body_decoder_layer_0_encdec_attention_multihead_attention_q,512,512,142349.0,278.025390625,62.548210144,278.025390625,13.4167480469,0.456981658936
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_decoder_layer_5_self_attention_multihead_attention_k.smtx,transformer/l0_regularization/0.5/body_decoder_layer_5_self_attention_multihead_attention_k,512,512,102691.0,200.568359375,20.0187244415,200.568359375,16.3677005768,0.608264923096
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_decoder_layer_0_ffn_conv2.smtx,transformer/l0_regularization/0.5/body_decoder_layer_0_ffn_conv2,512,2048,587093.0,1146.66601562,36.4843673706,286.666503906,18.9265041351,0.440104484558
transformer,26.72,dlmc/transformer/l0_regularization/0.5/body_encoder_layer_0_ffn_conv1.smtx,transformer/l0_regularization/0.5/body_encoder_layer_0_ffn_conv1,2048,512,546132.0,266.666015625,34.980052948,1066.6640625,66.0093231201,0.479167938232
